                                                                                               nonzeros per thread                                           max.        mean                                                 
                                                                                              -----------------------------------  imbalance                 perf.       perf.           .                   L1 BW    L2 BW   
  group                  matrix                 rows        columns     nonzeros     threads   min         max         mean        factor      time [s]      [Gflop/s]   [Gflop/s]   L1 misses   L2 misses   [GB/s]   [GB/s]  
 ---------------------- ---------------------- ----------- ----------- ------------ --------- ----------- ----------- ----------- ----------- ------------- ----------- ----------- ----------- ----------- -------- -------- 
  AG-Monien              debr                     1048576     1048576      4194298         1     4194298     4194298     4194298       1.000      0.020114       0.417       0.413      441338      353046      5.6      4.5 
  AG-Monien              wave                      156317      156317      2118662         1     2118662     2118662     2118662       1.000      0.005114       0.829       0.817      163526      114721      8.2      5.7 
  AMD                    G3_circuit               1585478     1585478      7660826         1     7660826     7660826     7660826       1.000      0.036509       0.420       0.413     1278246      546679      9.0      3.8 
  Andrianov              ins2                      309412      309412      2751484         1     2751484     2751484     2751484       1.000      0.006691       0.822       0.806      294226      230144     11.3      8.8 
  Andrianov              lp1                       534388      534388      1643420         1     1643420     1643420     1643420       1.000      0.010919       0.301       0.297      169726      151990      4.0      3.6 
  Andrianov              mip1                       66463       66463     10352819         1    10352819    10352819    10352819       1.000      0.004919       4.210       4.148      516528      487801     26.9     25.4 
  Andrianov              net100                     29920       29920      2033200         1     2033200     2033200     2033200       1.000      0.001664       2.443       2.399      169299       95840     26.0     14.7 
  Andrianov              net125                     36720       36720      2577200         1     2577200     2577200     2577200       1.000      0.002102       2.452       2.412      219451      121524     26.7     14.8 
  Andrianov              net150                     43520       43520      3121200         1     3121200     3121200     3121200       1.000      0.002479       2.518       2.470      259937      147346     26.8     15.2 
  Andrianov              net4-1                     88343       88343      2441727         1     2441727     2441727     2441727       1.000      0.003020       1.617       1.589      189587      121900     16.1     10.3 
  Andrianov              net75                      23120       23120      1489200         1     1489200     1489200     1489200       1.000      0.001234       2.414       2.379      126760       70157     26.3     14.6 
  Andrianov              pattern1                   19242       19242      9323432         1     9323432     9323432     9323432       1.000      0.008984       2.075       2.045     2023575      437513     57.7     12.5 
  ATandT                 pre2                      659033      659033      5959282         1     5959282     5959282     5959282       1.000      0.020427       0.583       0.576      452880      354307      5.7      4.4 
  ATandT                 twotone                   120750      120750      1224224         1     1224224     1224224     1224224       1.000      0.004014       0.610       0.600      103669       69380      6.6      4.4 
  Belcastro              human_gene1                22283       22283     24669643         1    24669643    24669643    24669643       1.000      0.026667       1.850       1.824     7628120     1156931     73.2     11.1 
  Belcastro              human_gene2                14340       14340     18068388         1    18068388    18068388    18068388       1.000      0.016382       2.206       2.171     4305514      847293     67.3     13.2 
  Belcastro              mouse_gene                 45101       45101     28967291         1    28967291    28967291    28967291       1.000      0.047111       1.230       1.215    14770459     1359551     80.3      7.4 
  BenElechi              BenElechi1                245874      245874     13150496         1    13150496    13150496    13150496       1.000      0.009840       2.673       2.644      695590      641479     18.1     16.7 
  Bodendiek              CurlCurl_1                226451      226451      2472071         1     2472071     2472071     2472071       1.000      0.005279       0.937       0.925      187795      139012      9.1      6.7 
  Bodendiek              CurlCurl_2                806529      806529      8921789         1     8921789     8921789     8921789       1.000      0.018044       0.989       0.978      613586      496338      8.7      7.0 
  Bodendiek              CurlCurl_3               1219574     1219574     13544618         1    13544618    13544618    13544618       1.000      0.028206       0.960       0.950     1038766      752312      9.4      6.8 
  Bodendiek              CurlCurl_4               2380515     2380515     26515867         1    26515867    26515867    26515867       1.000      0.053142       0.998       0.987     1812731     1493140      8.7      7.2 
  Boeing                 bcsstk35                   30237       30237      1450163         1     1450163     1450163     1450163       1.000      0.001341       2.163       2.135       76852       68822     14.7     13.1 
  Boeing                 bcsstk36                   23052       23052      1143140         1     1143140     1143140     1143140       1.000      0.001010       2.265       2.234       60801       53997     15.4     13.7 
  Boeing                 bcsstk37                   25503       25503      1140977         1     1140977     1140977     1140977       1.000      0.001153       1.978       1.951       61232       54060     13.6     12.0 
  Boeing                 bcsstk39                   46772       46772      2089294         1     2089294     2089294     2089294       1.000      0.001835       2.277       2.248      111417       99191     15.5     13.8 
  Boeing                 crystk03                   24696       24696      1751178         1     1751178     1751178     1751178       1.000      0.001255       2.791       2.757       90883       82801     18.5     16.9 
  Boeing                 ct20stif                   52329       52329      2698463         1     2698463     2698463     2698463       1.000      0.002765       1.952       1.926      146402      128604     13.6     11.9 
  Boeing                 msc10848                   10848       10848      1229778         1     1229778     1229778     1229778       1.000      0.000803       3.061       3.016       70308       57871     22.4     18.4 
  Boeing                 msc23052                   23052       23052      1154814         1     1154814     1154814     1154814       1.000      0.001053       2.192       2.162       73556       54556     17.9     13.3 
  Boeing                 pcrystk03                  24696       24696      1751178         1     1751178     1751178     1751178       1.000      0.001255       2.791       2.756       90867       82748     18.5     16.9 
  Boeing                 pct20stif                  52329       52329      2698463         1     2698463     2698463     2698463       1.000      0.002769       1.949       1.924      146395      128365     13.5     11.9 
  Boeing                 pwtk                      217918      217918     11634424         1    11634424    11634424    11634424       1.000      0.009347       2.489       2.459      612692      567905     16.8     15.6 
  Botonakis              FEM_3D_thermal2           147900      147900      3489300         1     3489300     3489300     3489300       1.000      0.005917       1.179       1.163      199049      179109      8.6      7.7 
  Botonakis              thermomech_dK             204316      204316      2846228         1     2846228     2846228     2846228       1.000      0.008678       0.656       0.634      653074      155117     19.3      4.6 
  Botonakis              thermomech_dM             204316      204316      1423116         1     1423116     1423116     1423116       1.000      0.008014       0.355       0.344      578739       86744     18.5      2.8 
  Bourchtein             atmosmodd                1270432     1270432      8814880         1     8814880     8814880     8814880       1.000      0.023822       0.740       0.732      648538      534939      7.0      5.7 
  Bourchtein             atmosmodj                1270432     1270432      8814880         1     8814880     8814880     8814880       1.000      0.023824       0.740       0.732      648582      534545      7.0      5.7 
  Bourchtein             atmosmodl                1489752     1489752     10319760         1    10319760    10319760    10319760       1.000      0.027933       0.739       0.731      761395      634064      7.0      5.8 
  Bourchtein             atmosmodm                1489752     1489752     10319760         1    10319760    10319760    10319760       1.000      0.027942       0.739       0.730      761221      636088      7.0      5.8 
  Bova                   rma10                      46835       46835      2374001         1     2374001     2374001     2374001       1.000      0.002603       1.824       1.801      126601      112836     12.5     11.1 
  Castrillon             denormal                   89400       89400      1156224         1     1156224     1156224     1156224       1.000      0.002037       1.135       1.121       70211       59309      8.8      7.5 
  CEMW                   t2em                      921632      921632      4590832         1     4590832     4590832     4590832       1.000      0.018117       0.507       0.501      362906      303600      5.1      4.3 
  CEMW                   tmt_sym                   726713      726713      5080961         1     5080961     5080961     5080961       1.000      0.025379       0.400       0.396      361641      308315      3.6      3.1 
  CEMW                   tmt_unsym                 917825      917825      4584801         1     4584801     4584801     4584801       1.000      0.018122       0.506       0.500      365531      302929      5.2      4.3 
  Chen                   pkustk03                   63336       63336      3130416         1     3130416     3130416     3130416       1.000      0.002566       2.440       2.408      167726      149017     16.7     14.9 
  Chen                   pkustk04                   55590       55590      4218660         1     4218660     4218660     4218660       1.000      0.003282       2.571       2.527      248117      199699     19.4     15.6 
  Chen                   pkustk05                   37164       37164      2205144         1     2205144     2205144     2205144       1.000      0.001653       2.668       2.630      120398      104229     18.6     16.1 
