
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 2.443203 seconds (29.0 MB/s)
csr_from_coo: 0.174281 seconds, 199187 rows, 199187 columns, 11708077 nonzeros, 18 to 144 nonzeros per row, 1 threads, 199187 to 199187 rows per thread, 11708077 to 11708077 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (6 L2 ways)
gemv (warmup): 0.009601 seconds (0.620 Gnz/s, 2.439 Gflop/s, 15.1 to 24.7 GB/s)
gemv (warmup): 0.009363 seconds (0.636 Gnz/s, 2.501 Gflop/s, 15.5 to 25.4 GB/s)
gemv (warmup): 0.009360 seconds (0.636 Gnz/s, 2.502 Gflop/s, 15.5 to 25.4 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.009382 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009384 seconds (0.634 Gnz/s, 2.495 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009379 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009379 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009415 seconds (0.632 Gnz/s, 2.487 Gflop/s, 15.4 to 25.2 GB/s)
gemv: 0.009380 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009378 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009392 seconds (0.634 Gnz/s, 2.493 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009384 seconds (0.634 Gnz/s, 2.495 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009387 seconds (0.634 Gnz/s, 2.495 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009388 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009383 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009381 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009388 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009390 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009396 seconds (0.634 Gnz/s, 2.492 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009378 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009410 seconds (0.633 Gnz/s, 2.488 Gflop/s, 15.4 to 25.2 GB/s)
gemv: 0.009411 seconds (0.633 Gnz/s, 2.488 Gflop/s, 15.4 to 25.2 GB/s)
gemv: 0.009380 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009411 seconds (0.633 Gnz/s, 2.488 Gflop/s, 15.4 to 25.2 GB/s)
gemv: 0.009382 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009378 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009436 seconds (0.631 Gnz/s, 2.482 Gflop/s, 15.4 to 25.2 GB/s)
gemv: 0.009387 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009378 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009382 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009387 seconds (0.634 Gnz/s, 2.495 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009397 seconds (0.634 Gnz/s, 2.492 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009379 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009381 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009382 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009381 seconds (0.635 Gnz/s, 2.496 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009388 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009390 seconds (0.634 Gnz/s, 2.494 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009379 seconds (0.635 Gnz/s, 2.497 Gflop/s, 15.5 to 25.3 GB/s)
