matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
144,48,2148786,144649,1,1169060,60013,1133416.34375,100724.34375,3.0489159025199735,-67.83754144935264
2cubes_sphere,48,1647264,101492,1,150265,0,130827.5,77215.5,12.935480650850165,0
333SP,48,22217266,3712815,1,8287394,5100874,8281176.34375,5436628.34375,0.0750254694057022,-6.582290481003844
3dtube,48,3213618,45330,1,166586,153567,150638.34375,150638.34375,9.573227191960909,1.9070869718103498
598a,48,1483868,110971,1,1135361,0,1124688.3125,69556.3125,0.9400259036553131,0
adaptive,48,27248640,6815744,1,3231869,3167172,3225280.0,3155350.0,0.2038758377892173,0.3732667502743773
af_0_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_1_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_2_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_3_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_4_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_5_k101,48,17550675,503625,1,901765,870085,872602.890625,822687.890625,3.2338923527748356,5.4474113879678425
af_shell10,48,52672325,1508065,1,2704938,2704497,2704807.234375,2610903.234375,0.00483432984415909,3.4606718227086217
af_shell1,48,17588875,504855,1,904379,889932,890972.515625,824478.515625,1.4823966915419309,7.354886033427273
af_shell2,48,17588875,504855,1,904379,889943,890972.515625,824478.515625,1.4823966915419309,7.3560311587371325
af_shell3,48,17588875,504855,1,904379,889924,890972.515625,824478.515625,1.4823966915419309,7.354053197239314
af_shell4,48,17588875,504855,1,904379,889923,890972.515625,824478.515625,1.4823966915419309,7.353949091662987
af_shell5,48,17588875,504855,1,904379,889923,890972.515625,824478.515625,1.4823966915419309,7.353949091662987
af_shell6,48,17588875,504855,1,904379,889934,890972.515625,824478.515625,1.4823966915419309,7.355094240134662
af_shell7,48,17588875,504855,1,904379,889925,890972.515625,824478.515625,1.4823966915419309,7.354157302581678
af_shell8,48,17588875,504855,1,904379,889931,890972.515625,824478.515625,1.4823966915419309,7.354781929722641
af_shell9,48,17588875,504855,1,904379,889923,890972.515625,824478.515625,1.4823966915419309,7.353949091662987
al2010,48,1230482,252266,1,247044,0,229612.84375,57678.84375,7.0558913594339465,0
amazon0302,48,1234877,262111,1,658556,0,651062.859375,57884.859375,1.1378137356580154,0
amazon0312,48,3200440,400727,1,1597324,178699,1586991.625,150020.625,0.6468553029942579,16.048425005176302
amazon0505,48,3356824,410236,1,1613868,186984,1602338.125,157351.125,0.7144249095960761,15.847813181876525
amazon0601,48,3387388,403394,1,1629187,187704,1618429.8125,158783.8125,0.6602794829568368,15.407336817542513
amazon-2008,48,5158388,735323,1,948100,392057,937924.4375,326806.4375,1.073258358822909,16.64313161096473
analytics,48,2006126,303813,1,202393,84070,200326.15625,94037.15625,1.0212031789636993,-11.855782383727846
apache2,48,4817870,715176,1,338601,293358,338509.65625,225837.65625,0.026976810464233714,23.01636353874788
appu,48,1853104,14000,1,943223,0,871710.25,86864.25,7.581743659770806,0
arabic-2005,48,639999458,22744080,1,37611748,33703947,34911912.59375,33058244.59375,7.178170518025379,1.9158064966396962
AS365,48,22736152,3799275,1,12633070,9641606,12626582.125,10145887.125,0.051356281568929796,-5.230260653671183
asia_osm,48,25423206,11950757,1,3544228,3253667,3508727.78125,3230563.78125,1.0016347354064128,0.7100670950653525
ASIC_320k,48,2635364,321821,1,331032,157760,322976.6875,123532.6875,2.433393901495928,21.69581167596349
ASIC_320ks,48,1827807,321671,1,147407,0,142586.453125,85678.453125,3.2702292801563018,0
ASIC_680k,48,3871773,682862,1,381106,273925,376465.359375,206322.359375,1.2176771357575058,24.679251848133614
ASIC_680ks,48,2329176,682712,1,216326,177731,211648.125,109180.125,2.162419219141481,38.570015922939724
as-Skitter,48,22190596,1696415,1,6400235,1912959,6207242.1875,1714587.1875,3.0154019735212847,10.36989357848234
atmosmodd,48,8814880,1270432,1,611124,537384,611032.5,502534.5,0.014972411490957646,6.485027466392747
atmosmodj,48,8814880,1270432,1,611124,537384,611032.5,502534.5,0.014972411490957646,6.485027466392747
atmosmodl,48,10319760,1489752,1,714997,713338,714903.75,594342.75,0.013042012763689917,16.68146797170486
atmosmodm,48,10319760,1489752,1,714997,713338,714903.75,594342.75,0.013042012763689917,16.68146797170486
audikw_1,48,77651847,943695,1,4249366,3909842,3983708.328125,3747796.328125,6.25170135674357,4.144558063343736
auto,48,6629222,448695,1,4515228,352328,4475876.78125,310744.78125,0.8715222963270072,11.802416711132809
av41092,48,1683902,41092,1,169883,0,146562.90625,78932.90625,13.72714971480372,0
az2010,48,1196094,241666,1,505877,0,486309.90625,56066.90625,3.8679548091729807,0
barrier2-10,48,3897557,115625,1,412313,192944,378917.984375,182697.984375,8.099433106644709,5.310357215046853
barrier2-11,48,3897557,115625,1,412313,192942,378917.984375,182697.984375,8.099433106644709,5.309375680256243
barrier2-12,48,3897557,115625,1,412313,192944,378917.984375,182697.984375,8.099433106644709,5.310357215046853
barrier2-1,48,3805068,113076,1,405505,188284,372478.5625,178362.5625,8.144520412818585,5.26940021456948
barrier2-2,48,3805068,113076,1,405505,188284,372478.5625,178362.5625,8.144520412818585,5.26940021456948
barrier2-3,48,3805068,113076,1,405505,188284,372478.5625,178362.5625,8.144520412818585,5.26940021456948
barrier2-4,48,3805068,113076,1,405505,188284,372478.5625,178362.5625,8.144520412818585,5.26940021456948
barrier2-9,48,3897557,115625,1,412313,192943,378917.984375,182697.984375,8.099433106644709,5.309866450195135
bbmat,48,1771722,38744,1,90595,0,83049.46875,83049.46875,8.32886058833269,0
bcsstk30,48,2043492,28924,1,101793,0,95788.6875,95788.6875,5.898551472105154,0
bcsstk31,48,1181416,35588,1,63147,0,55378.875,55378.875,12.301653285191696,0
bcsstk32,48,2014701,44609,1,102762,0,95023.109375,94439.109375,7.530887511920749,0
bcsstk35,48,1450163,30237,1,72845,0,67976.390625,67976.390625,6.683518944333859,0
bcsstk36,48,1143140,23052,1,57503,0,53584.6875,53584.6875,6.814101003425908,0
bcsstk37,48,1140977,25503,1,57859,0,53483.296875,53483.296875,7.562700919476659,0
bcsstk39,48,2089294,46772,1,105716,0,97935.65625,97935.65625,7.359665282454879,0
belgium_osm,48,3099940,1441295,1,572552,393416,568228.6875,382943.6875,0.7550951703950034,2.661892881835004
BenElechi1,48,13150496,245874,1,655245,639606,641504.5,616429.5,2.097001884791185,3.6235588784345367
bmw3_2,48,11288630,227362,1,593648,558854,569579.53125,529154.53125,4.054333333894833,5.314352004280188
bmw7st_1,48,7339667,141347,1,384128,360528,368965.890625,344046.890625,3.9471502663174776,4.571381245007323
bmwcra_1,48,10644002,148770,1,548840,514684,521722.59375,498937.59375,4.940858219153123,3.0594318552743043
bone010,48,71666325,986703,1,3621653,3504703,3514049.984375,3359358.984375,2.9711023012143905,4.147113624892038
boneS01,48,6715152,127224,1,335655,327083,335419.75,314772.75,0.07008684512371334,3.763647147665883
boneS10,48,55468422,914898,1,2777415,2742297,2743598.28125,2600082.28125,1.217560888452032,5.185970693546323
boyd1,48,1211231,93279,1,89772,35239,80128.453125,56776.453125,10.742265823419329,-61.1182301569284
boyd2,48,1500397,466316,1,139318,39346,138582.109375,70331.109375,0.5282092945635165,-78.75034152137447
Bump_2911,48,127729899,2911419,1,6787697,6524311,6555851.015625,6358034.015625,3.415679638837738,2.54857538788387
bundle_adj,48,20208051,513351,1,1507218,1011041,1160639.390625,947252.390625,22.99459065476925,6.309201048721071
c-73b,48,1279274,169422,1,176895,0,176103.96875,59965.96875,0.4471755843862178,0
c-73,48,1279274,169422,1,176895,0,176103.96875,59965.96875,0.4471755843862178,0
ca2010,48,3489366,710145,1,1273928,218726,1209487.03125,163564.03125,5.058446690079816,25.219666957746224
cage12,48,2032536,130228,1,136381,31254,128392.125,95275.125,5.857762444915347,-204.8413803033212
cage13,48,7479343,445315,1,509785,401617,480471.203125,350594.203125,5.750227424306325,12.704341916552336
cage14,48,27130349,1505785,1,1892498,1596703,1785695.109375,1434709.109375,5.643487635125638,10.145524285042365
cage15,48,99199551,5154859,1,7201275,6171363,6774279.953125,5803842.953125,5.92943675772693,5.955249219256751
caidaRouterLevel,48,1218132,192244,1,920871,34310,915344.9375,57099.9375,0.6000908379132365,-66.42360099096474
cant,48,4007383,62451,1,198198,191877,187846.078125,187846.078125,5.22302035086126,2.1007842914992416
case39,48,1042160,40216,1,64088,0,58479.25,48851.25,8.751638372238173,0
c-big,48,2341011,345241,1,278709,131926,263672.890625,109734.890625,5.394913467092918,16.82087638145627
cfd1,48,1828364,70656,1,102546,0,92095.5625,85704.5625,10.19097526963509,0
cfd2,48,3087898,123440,1,167586,152765,157050.21875,144745.21875,6.286790811881661,5.249750433672634
channel-500x100x100-b050,48,85362744,4802000,1,5062654,4567312,5062561.625,4470464.625,0.001824635853052569,2.1204457895584974
Chebyshev4,48,5377761,68121,1,641733,257258,622422.546875,252082.546875,3.009110194582482,2.0117753869656143
circuit5M_dc,48,19194193,3523317,1,1700419,1511185,1684593.796875,1474572.796875,0.9306649199403206,2.4227479180245965
circuit5M,48,59524291,5558326,1,5887351,3940324,5883582.140625,3896644.140625,0.0640162167161428,1.1085347137697306
citationCiteseer,48,2313294,268495,1,2341495,125232,2336508.65625,108435.65625,0.21295555830783325,13.412181990226141
cit-Patents,48,16518948,3774768,1,16569462,9650376,16551608.6875,10850736.6875,0.10774829321555522,-12.438486205097087
cnr-2000,48,3216152,325557,1,205620,181243,194930.125,150757.125,5.198849820056415,16.82044272054645
coAuthorsCiteseer,48,1628268,227320,1,449226,39932,446157.0625,76325.0625,0.6831611482861633,-91.13759015326053
coAuthorsDBLP,48,1955352,299067,1,755541,77046,751577.125,91657.125,0.5246406217531543,-18.964157775874153
com-Amazon,48,1851744,334863,1,1864460,107745,1861764.5,86800.5,0.14457269128863048,19.438953083669777
com-DBLP,48,2099732,317080,1,1470814,97971,1465386.9375,98424.9375,0.36898360363716964,-0.46333864102642613
com-LiveJournal,48,69362378,3997962,1,39619714,16751375,39308552.46875,18176173.46875,0.7853704629215648,-8.505561297206945
com-Orkut,48,234370166,3072441,1,193389008,76620803,192558394.53125,88442383.53125,0.42950397095475046,-15.428682640209344
CO,48,7666057,221119,1,462475,379240,451569.421875,359346.421875,2.3580903021784962,5.245643425007911
com-Youtube,48,5975248,1134890,1,3221907,563932,3185794.75,537489.75,1.1208346485482044,4.688907527857969
consph,48,6010480,83334,1,301394,288178,292710.25,281741.25,2.881195378806479,2.2336021486720012
cop20k_A,48,2624331,121192,1,410776,110398,396873.515625,123015.515625,3.384444167867646,-11.429116129821193
coPapersCiteseer,48,32073440,434102,1,2205758,1708495,2063513.5,1503442.5,6.448780872607059,12.001937377633531
coPapersDBLP,48,30491458,540486,1,2823050,1753660,2665843.09375,1463711.09375,5.568690113529693,16.53392939623416
CoupCons3D,48,22322336,416800,1,1166776,1128226,1135228.5,1046359.5,2.703818042194903,7.256214623665826
crankseg_1,48,10614210,52804,1,552525,505422,519488.09375,497541.09375,5.979259988235826,1.5592724990206204
crankseg_2,48,14148858,63838,1,741991,675260,695453.71875,663227.71875,6.271946863236885,1.781873833782543
crashbasis,48,1750416,160000,1,107975,0,107882.75,82050.75,0.08543644362120861,0
crystk03,48,1751178,24696,1,86346,0,82086.46875,82086.46875,4.93309620596206,0
