matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
144,48,2148786,144649,1,1282368.9375,1,1155839.9375,100724.34375,9.866817286347441,-10072334.375
2cubes_sphere,48,1647264,101492,1,183375.78125,1,77215.5,77215.5,57.892203935736475,-7721450.0
333SP,48,22217266,3712815,1,8319880.3125,6676291.3125,8294517.3125,5651015.3125,0.30484813539798145,15.356969191568663
3dtube,48,3213618,45330,1,163119.5,153471.5,150638.34375,150638.34375,7.651541507912911,1.8460471488191619
598a,48,1483868,110971,1,1209648.03125,1,69556.3125,69556.3125,94.24987180542729,-6955531.25
adaptive,48,27248640,6815744,1,3234032.03125,3183128.03125,3225456.03125,3156789.03125,0.2651798101296249,0.8274565063490956
af_0_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_1_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_2_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_3_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_4_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_5_k101,48,17550675,503625,1,872460.484375,854164.484375,872460.484375,822687.890625,0.0,3.6850740490611376
af_shell10,48,52672325,1508065,1,2704707.328125,2563269.328125,2704274.328125,2563269.328125,0.016009125848753886,0.0
af_shell1,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell2,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell3,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell4,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell5,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell6,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell7,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
af_shell8,48,17588875,504855,1,895007.984375,856031.984375,876683.984375,824478.515625,2.0473560370297674,3.6860151636784453
