
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.735144 seconds (26.5 MB/s)
csr_from_coo: 0.049383 seconds, 106437 rows, 106437 columns, 2707179 nonzeros, 8 to 112 nonzeros per row, 1 threads, 106437 to 106437 rows per thread, 2707179 to 2707179 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (8 L2 ways)
gemv (warmup): 0.005685 seconds (0.247 Gnz/s, 0.952 Gflop/s, 6.2 to 9.8 GB/s)
gemv (warmup): 0.005636 seconds (0.250 Gnz/s, 0.961 Gflop/s, 6.2 to 9.9 GB/s)
gemv (warmup): 0.005606 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.005616 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005604 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005618 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005607 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005619 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005624 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005610 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005601 seconds (0.251 Gnz/s, 0.967 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005628 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005609 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005607 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005625 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005605 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005609 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005622 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005625 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005607 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005620 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005609 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005622 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005607 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005624 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005619 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005608 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005618 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005612 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005618 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005605 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005622 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005601 seconds (0.251 Gnz/s, 0.967 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005626 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005605 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005620 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005609 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005624 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005610 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005620 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005613 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005618 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005610 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005619 seconds (0.250 Gnz/s, 0.964 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005604 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005620 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005606 seconds (0.251 Gnz/s, 0.966 Gflop/s, 6.3 to 10.0 GB/s)
gemv: 0.005621 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005608 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005621 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005621 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005612 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 10.0 GB/s)
gemv: 0.005621 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005613 seconds (0.251 Gnz/s, 0.965 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005652 seconds (0.249 Gnz/s, 0.958 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005626 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005638 seconds (0.250 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005636 seconds (0.250 Gnz/s, 0.961 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005631 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005638 seconds (0.250 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005625 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005634 seconds (0.250 Gnz/s, 0.961 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005625 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005642 seconds (0.249 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005642 seconds (0.249 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005626 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005637 seconds (0.250 Gnz/s, 0.961 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005624 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005644 seconds (0.249 Gnz/s, 0.959 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005620 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005641 seconds (0.249 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005644 seconds (0.249 Gnz/s, 0.959 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005623 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005646 seconds (0.249 Gnz/s, 0.959 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005627 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005646 seconds (0.249 Gnz/s, 0.959 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005621 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005638 seconds (0.250 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005643 seconds (0.249 Gnz/s, 0.959 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005627 seconds (0.250 Gnz/s, 0.962 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005642 seconds (0.249 Gnz/s, 0.960 Gflop/s, 6.2 to 9.9 GB/s)
gemv: 0.005622 seconds (0.250 Gnz/s, 0.963 Gflop/s, 6.2 to 9.9 GB/s)
