
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 2.076885 seconds (26.3 MB/s)
csr_from_coo: 0.062181 seconds, 25710 rows, 25710 columns, 3753184 nonzeros, 52 to 414 nonzeros per row, 1 threads, 25710 to 25710 rows per thread, 3753184 to 3753184 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (12 L2 ways)
gemv (warmup): 0.002175 seconds (0.869 Gnz/s, 3.452 Gflop/s, 21.0 to 34.7 GB/s)
gemv (warmup): 0.002119 seconds (0.892 Gnz/s, 3.542 Gflop/s, 21.5 to 35.6 GB/s)
gemv (warmup): 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.002134 seconds (0.885 Gnz/s, 3.517 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002133 seconds (0.886 Gnz/s, 3.518 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002118 seconds (0.892 Gnz/s, 3.544 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002117 seconds (0.892 Gnz/s, 3.545 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002143 seconds (0.882 Gnz/s, 3.503 Gflop/s, 21.3 to 35.2 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002115 seconds (0.893 Gnz/s, 3.549 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002207 seconds (0.856 Gnz/s, 3.402 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.002121 seconds (0.891 Gnz/s, 3.539 Gflop/s, 21.5 to 35.6 GB/s)
gemv: 0.002117 seconds (0.892 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002115 seconds (0.893 Gnz/s, 3.549 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002119 seconds (0.892 Gnz/s, 3.543 Gflop/s, 21.5 to 35.6 GB/s)
gemv: 0.002164 seconds (0.873 Gnz/s, 3.469 Gflop/s, 21.1 to 34.9 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002117 seconds (0.892 Gnz/s, 3.545 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002131 seconds (0.887 Gnz/s, 3.522 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002132 seconds (0.886 Gnz/s, 3.521 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002119 seconds (0.892 Gnz/s, 3.543 Gflop/s, 21.5 to 35.6 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.548 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002130 seconds (0.887 Gnz/s, 3.523 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002117 seconds (0.892 Gnz/s, 3.545 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002116 seconds (0.893 Gnz/s, 3.547 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002118 seconds (0.892 Gnz/s, 3.544 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002130 seconds (0.887 Gnz/s, 3.523 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002118 seconds (0.892 Gnz/s, 3.545 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002118 seconds (0.892 Gnz/s, 3.544 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002119 seconds (0.892 Gnz/s, 3.542 Gflop/s, 21.5 to 35.6 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002132 seconds (0.886 Gnz/s, 3.520 Gflop/s, 21.4 to 35.4 GB/s)
gemv: 0.002117 seconds (0.892 Gnz/s, 3.545 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002118 seconds (0.892 Gnz/s, 3.544 Gflop/s, 21.6 to 35.6 GB/s)
gemv: 0.002117 seconds (0.893 Gnz/s, 3.546 Gflop/s, 21.6 to 35.7 GB/s)
gemv: 0.002152 seconds (0.878 Gnz/s, 3.488 Gflop/s, 21.2 to 35.1 GB/s)
