
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 3.709600 seconds (27.1 MB/s)
csr_from_coo: 0.095914 seconds, 152078 rows, 152078 columns, 6459326 nonzeros, 12 to 110 nonzeros per row, 1 threads, 152078 to 152078 rows per thread, 6459326 to 6459326 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (8 L2 ways)
gemv (warmup): 0.007445 seconds (0.444 Gnz/s, 1.735 Gflop/s, 10.9 to 17.7 GB/s)
gemv (warmup): 0.007305 seconds (0.453 Gnz/s, 1.769 Gflop/s, 11.1 to 18.0 GB/s)
gemv (warmup): 0.007314 seconds (0.452 Gnz/s, 1.766 Gflop/s, 11.1 to 18.0 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.007356 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007361 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007359 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007361 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007345 seconds (0.450 Gnz/s, 1.759 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007359 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007363 seconds (0.449 Gnz/s, 1.754 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007362 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007340 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007358 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007356 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007359 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007342 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007358 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007359 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007360 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007335 seconds (0.451 Gnz/s, 1.761 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007350 seconds (0.450 Gnz/s, 1.758 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007357 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007357 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007337 seconds (0.451 Gnz/s, 1.761 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007363 seconds (0.449 Gnz/s, 1.754 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007338 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007354 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007351 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007339 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007353 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007367 seconds (0.449 Gnz/s, 1.754 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007340 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007353 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007356 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007352 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007334 seconds (0.451 Gnz/s, 1.761 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007353 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007356 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007342 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007359 seconds (0.449 Gnz/s, 1.755 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007357 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007357 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007344 seconds (0.450 Gnz/s, 1.759 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007358 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007353 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007356 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007339 seconds (0.450 Gnz/s, 1.760 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007357 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007355 seconds (0.449 Gnz/s, 1.756 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007364 seconds (0.449 Gnz/s, 1.754 Gflop/s, 11.0 to 17.9 GB/s)
gemv: 0.007345 seconds (0.450 Gnz/s, 1.759 Gflop/s, 11.1 to 17.9 GB/s)
gemv: 0.007352 seconds (0.450 Gnz/s, 1.757 Gflop/s, 11.0 to 17.9 GB/s)
