
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.460782 seconds (22.7 MB/s)
csr_from_coo: 0.075537 seconds, 143571 rows, 143571 columns, 4706073 nonzeros, 9 to 159 nonzeros per row, 1 threads, 143571 to 143571 rows per thread, 4706073 to 4706073 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
gemv (warmup): 0.007448 seconds (0.326 Gnz/s, 1.264 Gflop/s, 8.0 to 12.9 GB/s)
gemv (warmup): 0.007175 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv (warmup): 0.007173 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.007178 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007166 seconds (0.338 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007161 seconds (0.339 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007177 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007182 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007150 seconds (0.339 Gnz/s, 1.316 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007174 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007185 seconds (0.337 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007190 seconds (0.337 Gnz/s, 1.309 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007167 seconds (0.338 Gnz/s, 1.313 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007184 seconds (0.338 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007186 seconds (0.337 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007178 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007162 seconds (0.339 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007174 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007183 seconds (0.338 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007170 seconds (0.338 Gnz/s, 1.313 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007164 seconds (0.338 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007181 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007168 seconds (0.338 Gnz/s, 1.313 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007166 seconds (0.338 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007180 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007191 seconds (0.337 Gnz/s, 1.309 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007181 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007164 seconds (0.338 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007189 seconds (0.337 Gnz/s, 1.309 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007164 seconds (0.338 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007172 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007158 seconds (0.339 Gnz/s, 1.315 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007180 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007176 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007160 seconds (0.339 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007180 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007171 seconds (0.338 Gnz/s, 1.313 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007178 seconds (0.338 Gnz/s, 1.311 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007175 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007176 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007184 seconds (0.338 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007176 seconds (0.338 Gnz/s, 1.312 Gflop/s, 8.4 to 13.4 GB/s)
gemv: 0.007162 seconds (0.339 Gnz/s, 1.314 Gflop/s, 8.4 to 13.5 GB/s)
gemv: 0.007185 seconds (0.337 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007183 seconds (0.338 Gnz/s, 1.310 Gflop/s, 8.3 to 13.4 GB/s)
gemv: 0.007167 seconds (0.338 Gnz/s, 1.313 Gflop/s, 8.4 to 13.5 GB/s)
