
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.613907 seconds (24.4 MB/s)
csr_from_coo: 0.017769 seconds, 23052 rows, 23052 columns, 1154814 nonzeros, 12 to 178 nonzeros per row, 1 threads, 23052 to 23052 rows per thread, 1154814 to 1154814 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv (warmup): 0.001087 seconds (0.542 Gnz/s, 2.125 Gflop/s, 13.3 to 21.6 GB/s)
gemv (warmup): 0.001111 seconds (0.530 Gnz/s, 2.079 Gflop/s, 13.0 to 21.1 GB/s)
gemv (warmup): 0.001079 seconds (0.546 Gnz/s, 2.140 Gflop/s, 13.4 to 21.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.001076 seconds (0.547 Gnz/s, 2.146 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001078 seconds (0.547 Gnz/s, 2.143 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001078 seconds (0.546 Gnz/s, 2.143 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.145 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001078 seconds (0.546 Gnz/s, 2.143 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001076 seconds (0.548 Gnz/s, 2.147 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001075 seconds (0.548 Gnz/s, 2.149 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.145 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.145 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001076 seconds (0.547 Gnz/s, 2.147 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001075 seconds (0.548 Gnz/s, 2.148 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001074 seconds (0.548 Gnz/s, 2.150 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.144 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.145 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001076 seconds (0.548 Gnz/s, 2.147 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001094 seconds (0.538 Gnz/s, 2.111 Gflop/s, 13.2 to 21.4 GB/s)
gemv: 0.001077 seconds (0.547 Gnz/s, 2.144 Gflop/s, 13.4 to 21.8 GB/s)
gemv: 0.001092 seconds (0.539 Gnz/s, 2.115 Gflop/s, 13.2 to 21.5 GB/s)
gemv: 0.001127 seconds (0.523 Gnz/s, 2.050 Gflop/s, 12.8 to 20.8 GB/s)
gemv: 0.001124 seconds (0.524 Gnz/s, 2.054 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001126 seconds (0.523 Gnz/s, 2.051 Gflop/s, 12.8 to 20.8 GB/s)
gemv: 0.001125 seconds (0.524 Gnz/s, 2.053 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001125 seconds (0.523 Gnz/s, 2.052 Gflop/s, 12.8 to 20.8 GB/s)
gemv: 0.001142 seconds (0.516 Gnz/s, 2.022 Gflop/s, 12.6 to 20.5 GB/s)
gemv: 0.001121 seconds (0.525 Gnz/s, 2.060 Gflop/s, 12.9 to 20.9 GB/s)
gemv: 0.001123 seconds (0.525 Gnz/s, 2.058 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001123 seconds (0.525 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001122 seconds (0.525 Gnz/s, 2.059 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001126 seconds (0.523 Gnz/s, 2.052 Gflop/s, 12.8 to 20.8 GB/s)
gemv: 0.001120 seconds (0.526 Gnz/s, 2.062 Gflop/s, 12.9 to 20.9 GB/s)
gemv: 0.001122 seconds (0.525 Gnz/s, 2.059 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001140 seconds (0.517 Gnz/s, 2.026 Gflop/s, 12.6 to 20.6 GB/s)
gemv: 0.001120 seconds (0.526 Gnz/s, 2.061 Gflop/s, 12.9 to 20.9 GB/s)
gemv: 0.001123 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001121 seconds (0.525 Gnz/s, 2.060 Gflop/s, 12.9 to 20.9 GB/s)
gemv: 0.001122 seconds (0.525 Gnz/s, 2.059 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001122 seconds (0.525 Gnz/s, 2.059 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.001122 seconds (0.525 Gnz/s, 2.058 Gflop/s, 12.8 to 20.9 GB/s)
