matrix,time
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 0.610342
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.255881
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 1.032722
/home/ru37geh/mtx/suitesparse/Andrianov/ins2.mtx, 0.321003
/home/ru37geh/mtx/suitesparse/Andrianov/lp1.mtx, 0.198009
/home/ru37geh/mtx/suitesparse/Andrianov/mip1.mtx, 0.902630
/home/ru37geh/mtx/suitesparse/Andrianov/net100.mtx, 0.245033
/home/ru37geh/mtx/suitesparse/Andrianov/net125.mtx, 0.317047
/home/ru37geh/mtx/suitesparse/Andrianov/net150.mtx, 0.390480
/home/ru37geh/mtx/suitesparse/Andrianov/net4-1.mtx, 0.320816
/home/ru37geh/mtx/suitesparse/Andrianov/net75.mtx, 0.180541
/home/ru37geh/mtx/suitesparse/Andrianov/pattern1.mtx, 1.033692
/home/ru37geh/mtx/suitesparse/ATandT/pre2.mtx, 0.808986
/home/ru37geh/mtx/suitesparse/ATandT/twotone.mtx, 0.166041
/home/ru37geh/mtx/suitesparse/Belcastro/human_gene1.mtx, 2.805047
/home/ru37geh/mtx/suitesparse/Belcastro/human_gene2.mtx, 1.875135
/home/ru37geh/mtx/suitesparse/Belcastro/mouse_gene.mtx, 4.154296
/home/ru37geh/mtx/suitesparse/BenElechi/BenElechi1.mtx, 1.180446
/home/ru37geh/mtx/suitesparse/Bodendiek/CurlCurl_1.mtx, 0.270096
/home/ru37geh/mtx/suitesparse/Bodendiek/CurlCurl_2.mtx, 0.990845
/home/ru37geh/mtx/suitesparse/Bodendiek/CurlCurl_3.mtx, 1.506602
/home/ru37geh/mtx/suitesparse/Bodendiek/CurlCurl_4.mtx, 2.963613
/home/ru37geh/mtx/suitesparse/Boeing/bcsstk35.mtx, 0.131789
/home/ru37geh/mtx/suitesparse/Boeing/bcsstk36.mtx, 0.104170
/home/ru37geh/mtx/suitesparse/Boeing/bcsstk37.mtx, 0.104347
/home/ru37geh/mtx/suitesparse/Boeing/bcsstk39.mtx, 0.193320
/home/ru37geh/mtx/suitesparse/Boeing/crystk03.mtx, 0.165711
/home/ru37geh/mtx/suitesparse/Boeing/ct20stif.mtx, 0.250382
/home/ru37geh/mtx/suitesparse/Boeing/msc10848.mtx, 0.114621
/home/ru37geh/mtx/suitesparse/Boeing/msc23052.mtx, 0.111613
/home/ru37geh/mtx/suitesparse/Boeing/pcrystk03.mtx, 0.165616
/home/ru37geh/mtx/suitesparse/Boeing/pct20stif.mtx, 0.250410
/home/ru37geh/mtx/suitesparse/Boeing/pwtk.mtx, 1.051132
/home/ru37geh/mtx/suitesparse/Botonakis/FEM_3D_thermal2.mtx, 0.344797
/home/ru37geh/mtx/suitesparse/Botonakis/thermomech_dK.mtx, 0.432911
/home/ru37geh/mtx/suitesparse/Botonakis/thermomech_dM.mtx, 0.309243
/home/ru37geh/mtx/suitesparse/Bourchtein/atmosmodd.mtx, 1.207257
/home/ru37geh/mtx/suitesparse/Bourchtein/atmosmodj.mtx, 1.208062
/home/ru37geh/mtx/suitesparse/Bourchtein/atmosmodl.mtx, 1.424678
/home/ru37geh/mtx/suitesparse/Bourchtein/atmosmodm.mtx, 1.421170
/home/ru37geh/mtx/suitesparse/Bova/rma10.mtx, 0.219898
/home/ru37geh/mtx/suitesparse/Castrillon/denormal.mtx, 0.126437
/home/ru37geh/mtx/suitesparse/CEMW/t2em.mtx, 0.580617
/home/ru37geh/mtx/suitesparse/CEMW/tmt_sym.mtx, 0.603136
/home/ru37geh/mtx/suitesparse/CEMW/tmt_unsym.mtx, 0.578499
/home/ru37geh/mtx/suitesparse/Chen/pkustk03.mtx, 0.296990
/home/ru37geh/mtx/suitesparse/Chen/pkustk04.mtx, 0.397780
/home/ru37geh/mtx/suitesparse/Chen/pkustk05.mtx, 0.210053
/home/ru37geh/mtx/suitesparse/Chen/pkustk06.mtx, 0.244965
/home/ru37geh/mtx/suitesparse/Chen/pkustk07.mtx, 0.229252
/home/ru37geh/mtx/suitesparse/Chen/pkustk08.mtx, 0.307744
/home/ru37geh/mtx/suitesparse/Chen/pkustk09.mtx, 0.150275
/home/ru37geh/mtx/suitesparse/Chen/pkustk10.mtx, 0.406737
/home/ru37geh/mtx/suitesparse/Chen/pkustk11.mtx, 0.497802
/home/ru37geh/mtx/suitesparse/Chen/pkustk12.mtx, 0.713993
/home/ru37geh/mtx/suitesparse/Chen/pkustk13.mtx, 0.641774
/home/ru37geh/mtx/suitesparse/Chen/pkustk14.mtx, 1.413632
/home/ru37geh/mtx/suitesparse/Cunningham/qa8fk.mtx, 0.174529
/home/ru37geh/mtx/suitesparse/Cunningham/qa8fm.mtx, 0.174661
/home/ru37geh/mtx/suitesparse/DIMACS10/144.mtx, 0.477783
/home/ru37geh/mtx/suitesparse/DIMACS10/333SP.mtx, 11.820876
/home/ru37geh/mtx/suitesparse/DIMACS10/598a.mtx, 0.384881
/home/ru37geh/mtx/suitesparse/DIMACS10/adaptive.mtx, 5.232602
/home/ru37geh/mtx/suitesparse/DIMACS10/al2010.mtx, 0.216294
/home/ru37geh/mtx/suitesparse/DIMACS10/AS365.mtx, 26.221757
/home/ru37geh/mtx/suitesparse/DIMACS10/asia_osm.mtx, 4.922639
/home/ru37geh/mtx/suitesparse/DIMACS10/auto.mtx, 1.832750
/home/ru37geh/mtx/suitesparse/DIMACS10/az2010.mtx, 0.239924
/home/ru37geh/mtx/suitesparse/DIMACS10/belgium_osm.mtx, 0.589400
/home/ru37geh/mtx/suitesparse/DIMACS10/ca2010.mtx, 0.681621
/home/ru37geh/mtx/suitesparse/DIMACS10/caidaRouterLevel.mtx, 0.349398
/home/ru37geh/mtx/suitesparse/DIMACS10/channel-500x100x100-b050.mtx, 10.510459
/home/ru37geh/mtx/suitesparse/DIMACS10/citationCiteseer.mtx, 0.865929
/home/ru37geh/mtx/suitesparse/DIMACS10/coAuthorsCiteseer.mtx, 0.290961
/home/ru37geh/mtx/suitesparse/DIMACS10/coAuthorsDBLP.mtx, 0.443428
/home/ru37geh/mtx/suitesparse/DIMACS10/coPapersCiteseer.mtx, 3.285158
/home/ru37geh/mtx/suitesparse/DIMACS10/coPapersDBLP.mtx, 3.666204
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n18.mtx, 0.197796
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n19.mtx, 0.413173
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n20.mtx, 0.869392
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n21.mtx, 1.782597
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n22.mtx, 3.633139
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n23.mtx, 7.330319
/home/ru37geh/mtx/suitesparse/DIMACS10/delaunay_n24.mtx, 14.772981
/home/ru37geh/mtx/suitesparse/DIMACS10/europe_osm.mtx, 42.852341
/home/ru37geh/mtx/suitesparse/DIMACS10/fe_rotor.mtx, 0.213921
/home/ru37geh/mtx/suitesparse/DIMACS10/fl2010.mtx, 0.429411
/home/ru37geh/mtx/suitesparse/DIMACS10/ga2010.mtx, 0.230396
/home/ru37geh/mtx/suitesparse/DIMACS10/germany_osm.mtx, 9.119997
/home/ru37geh/mtx/suitesparse/DIMACS10/G_n_pin_pout.mtx, 0.234887
/home/ru37geh/mtx/suitesparse/DIMACS10/great-britain_osm.mtx, 4.492645
/home/ru37geh/mtx/suitesparse/DIMACS10/hugebubbles-00000.mtx, 29.221294
/home/ru37geh/mtx/suitesparse/DIMACS10/hugebubbles-00010.mtx, 73.651760
/home/ru37geh/mtx/suitesparse/DIMACS10/hugebubbles-00020.mtx, 77.042230
/home/ru37geh/mtx/suitesparse/DIMACS10/hugetrace-00000.mtx, 5.302570
/home/ru37geh/mtx/suitesparse/DIMACS10/hugetrace-00010.mtx, 22.796143
/home/ru37geh/mtx/suitesparse/DIMACS10/hugetrace-00020.mtx, 38.561935
/home/ru37geh/mtx/suitesparse/DIMACS10/hugetric-00000.mtx, 6.618718
