
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.909867 seconds (25.8 MB/s)
csr_from_coo: 0.053377 seconds, 999999 rows, 999999 columns, 4995991 nonzeros, 3 to 5 nonzeros per row, 1 threads, 999999 to 999999 rows per thread, 4995991 to 4995991 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv (warmup): 0.018923 seconds (0.158 Gnz/s, 0.528 Gflop/s, 4.4 to 6.1 GB/s)
gemv (warmup): 0.020022 seconds (0.150 Gnz/s, 0.499 Gflop/s, 4.2 to 5.8 GB/s)
gemv (warmup): 0.021063 seconds (0.142 Gnz/s, 0.474 Gflop/s, 4.0 to 5.5 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.022028 seconds (0.136 Gnz/s, 0.454 Gflop/s, 3.8 to 5.3 GB/s)
gemv: 0.022873 seconds (0.131 Gnz/s, 0.437 Gflop/s, 3.7 to 5.1 GB/s)
gemv: 0.023512 seconds (0.128 Gnz/s, 0.425 Gflop/s, 3.6 to 4.9 GB/s)
gemv: 0.024060 seconds (0.125 Gnz/s, 0.415 Gflop/s, 3.5 to 4.8 GB/s)
gemv: 0.024334 seconds (0.123 Gnz/s, 0.411 Gflop/s, 3.5 to 4.8 GB/s)
gemv: 0.025698 seconds (0.117 Gnz/s, 0.389 Gflop/s, 3.3 to 4.5 GB/s)
gemv: 0.025700 seconds (0.117 Gnz/s, 0.389 Gflop/s, 3.3 to 4.5 GB/s)
gemv: 0.025556 seconds (0.117 Gnz/s, 0.391 Gflop/s, 3.3 to 4.5 GB/s)
gemv: 0.025663 seconds (0.117 Gnz/s, 0.389 Gflop/s, 3.3 to 4.5 GB/s)
gemv: 0.026438 seconds (0.113 Gnz/s, 0.378 Gflop/s, 3.2 to 4.4 GB/s)
gemv: 0.026597 seconds (0.113 Gnz/s, 0.376 Gflop/s, 3.2 to 4.4 GB/s)
gemv: 0.026611 seconds (0.113 Gnz/s, 0.375 Gflop/s, 3.2 to 4.4 GB/s)
gemv: 0.026918 seconds (0.111 Gnz/s, 0.371 Gflop/s, 3.1 to 4.3 GB/s)
gemv: 0.027196 seconds (0.110 Gnz/s, 0.367 Gflop/s, 3.1 to 4.3 GB/s)
gemv: 0.027050 seconds (0.111 Gnz/s, 0.369 Gflop/s, 3.1 to 4.3 GB/s)
gemv: 0.027302 seconds (0.110 Gnz/s, 0.366 Gflop/s, 3.1 to 4.2 GB/s)
gemv: 0.027314 seconds (0.110 Gnz/s, 0.366 Gflop/s, 3.1 to 4.2 GB/s)
gemv: 0.027247 seconds (0.110 Gnz/s, 0.367 Gflop/s, 3.1 to 4.3 GB/s)
gemv: 0.027187 seconds (0.110 Gnz/s, 0.368 Gflop/s, 3.1 to 4.3 GB/s)
gemv: 0.027660 seconds (0.108 Gnz/s, 0.361 Gflop/s, 3.0 to 4.2 GB/s)
gemv: 0.028243 seconds (0.106 Gnz/s, 0.354 Gflop/s, 3.0 to 4.1 GB/s)
gemv: 0.028345 seconds (0.106 Gnz/s, 0.353 Gflop/s, 3.0 to 4.1 GB/s)
gemv: 0.028938 seconds (0.104 Gnz/s, 0.345 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028654 seconds (0.105 Gnz/s, 0.349 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028773 seconds (0.104 Gnz/s, 0.347 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028977 seconds (0.103 Gnz/s, 0.345 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028803 seconds (0.104 Gnz/s, 0.347 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.029027 seconds (0.103 Gnz/s, 0.344 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.029063 seconds (0.103 Gnz/s, 0.344 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028817 seconds (0.104 Gnz/s, 0.347 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.029073 seconds (0.103 Gnz/s, 0.344 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028744 seconds (0.104 Gnz/s, 0.348 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028818 seconds (0.104 Gnz/s, 0.347 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.029001 seconds (0.103 Gnz/s, 0.345 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.028757 seconds (0.104 Gnz/s, 0.347 Gflop/s, 2.9 to 4.0 GB/s)
gemv: 0.029577 seconds (0.101 Gnz/s, 0.338 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029701 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029506 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029501 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029478 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029363 seconds (0.102 Gnz/s, 0.340 Gflop/s, 2.9 to 3.9 GB/s)
gemv: 0.029449 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.9 to 3.9 GB/s)
gemv: 0.029589 seconds (0.101 Gnz/s, 0.338 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029507 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029604 seconds (0.101 Gnz/s, 0.338 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029452 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.9 to 3.9 GB/s)
gemv: 0.029529 seconds (0.102 Gnz/s, 0.338 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029432 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.9 to 3.9 GB/s)
gemv: 0.029633 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029486 seconds (0.102 Gnz/s, 0.339 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029732 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029523 seconds (0.102 Gnz/s, 0.338 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029621 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029645 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029406 seconds (0.102 Gnz/s, 0.340 Gflop/s, 2.9 to 3.9 GB/s)
gemv: 0.029830 seconds (0.101 Gnz/s, 0.335 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029665 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029848 seconds (0.100 Gnz/s, 0.335 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029629 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029735 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029658 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029748 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029674 seconds (0.101 Gnz/s, 0.337 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029949 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.030073 seconds (0.100 Gnz/s, 0.332 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029886 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029992 seconds (0.100 Gnz/s, 0.333 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029852 seconds (0.100 Gnz/s, 0.335 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029759 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029918 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029722 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029749 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029701 seconds (0.101 Gnz/s, 0.336 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029879 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029929 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029837 seconds (0.100 Gnz/s, 0.335 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029975 seconds (0.100 Gnz/s, 0.333 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.029951 seconds (0.100 Gnz/s, 0.334 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.030006 seconds (0.100 Gnz/s, 0.333 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.030035 seconds (0.100 Gnz/s, 0.333 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.030300 seconds (0.099 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.030170 seconds (0.099 Gnz/s, 0.331 Gflop/s, 2.8 to 3.8 GB/s)
