
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 9.664306 seconds (24.4 MB/s)
csr_from_coo: 0.207317 seconds, 181343 rows, 181343 columns, 11063545 nonzeros, 15 to 3441 nonzeros per row, 1 threads, 181343 to 181343 rows per thread, 11063545 to 11063545 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv (warmup): 0.013657 seconds (0.810 Gnz/s, 1.620 Gflop/s, 10.0 to 16.4 GB/s)
gemv (warmup): 0.013719 seconds (0.806 Gnz/s, 1.613 Gflop/s, 10.0 to 16.3 GB/s)
gemv (warmup): 0.013722 seconds (0.806 Gnz/s, 1.613 Gflop/s, 10.0 to 16.3 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.013900 seconds (0.796 Gnz/s, 1.592 Gflop/s, 9.9 to 16.1 GB/s)
gemv: 0.013915 seconds (0.795 Gnz/s, 1.590 Gflop/s, 9.9 to 16.1 GB/s)
gemv: 0.013936 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013949 seconds (0.793 Gnz/s, 1.586 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013928 seconds (0.794 Gnz/s, 1.589 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013956 seconds (0.793 Gnz/s, 1.585 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013940 seconds (0.794 Gnz/s, 1.587 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013925 seconds (0.795 Gnz/s, 1.589 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013955 seconds (0.793 Gnz/s, 1.586 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013935 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013938 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013933 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013956 seconds (0.793 Gnz/s, 1.586 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013938 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013938 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013970 seconds (0.792 Gnz/s, 1.584 Gflop/s, 9.8 to 16.0 GB/s)
gemv: 0.013939 seconds (0.794 Gnz/s, 1.587 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013962 seconds (0.792 Gnz/s, 1.585 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013935 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013938 seconds (0.794 Gnz/s, 1.588 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013975 seconds (0.792 Gnz/s, 1.583 Gflop/s, 9.8 to 16.0 GB/s)
gemv: 0.013940 seconds (0.794 Gnz/s, 1.587 Gflop/s, 9.8 to 16.1 GB/s)
gemv: 0.013986 seconds (0.791 Gnz/s, 1.582 Gflop/s, 9.8 to 16.0 GB/s)
gemv: 0.013981 seconds (0.791 Gnz/s, 1.583 Gflop/s, 9.8 to 16.0 GB/s)
gemv: 0.014815 seconds (0.747 Gnz/s, 1.494 Gflop/s, 9.3 to 15.1 GB/s)
gemv: 0.014628 seconds (0.756 Gnz/s, 1.513 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014657 seconds (0.755 Gnz/s, 1.510 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014642 seconds (0.756 Gnz/s, 1.511 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014648 seconds (0.755 Gnz/s, 1.511 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014672 seconds (0.754 Gnz/s, 1.508 Gflop/s, 9.3 to 15.3 GB/s)
gemv: 0.014655 seconds (0.755 Gnz/s, 1.510 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014659 seconds (0.755 Gnz/s, 1.509 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014618 seconds (0.757 Gnz/s, 1.514 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014661 seconds (0.755 Gnz/s, 1.509 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014640 seconds (0.756 Gnz/s, 1.511 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014659 seconds (0.755 Gnz/s, 1.509 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014629 seconds (0.756 Gnz/s, 1.513 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014630 seconds (0.756 Gnz/s, 1.512 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014628 seconds (0.756 Gnz/s, 1.513 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014655 seconds (0.755 Gnz/s, 1.510 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014627 seconds (0.756 Gnz/s, 1.513 Gflop/s, 9.4 to 15.3 GB/s)
gemv: 0.014729 seconds (0.751 Gnz/s, 1.502 Gflop/s, 9.3 to 15.2 GB/s)
gemv: 0.014706 seconds (0.752 Gnz/s, 1.505 Gflop/s, 9.3 to 15.2 GB/s)
gemv: 0.014745 seconds (0.750 Gnz/s, 1.501 Gflop/s, 9.3 to 15.2 GB/s)
