                                                                                               nonzeros per thread                                           max.        mean                                                 
                                                                                              -----------------------------------  imbalance                 perf.       perf.           .                   L1 BW    L2 BW   
  group                  matrix                 rows        columns     nonzeros     threads   min         max         mean        factor      time [s]      [Gflop/s]   [Gflop/s]   L1 misses   L2 misses   [GB/s]   [GB/s]  
 ---------------------- ---------------------- ----------- ----------- ------------ --------- ----------- ----------- ----------- ----------- ------------- ----------- ----------- ----------- ----------- -------- -------- 
  AG-Monien              debr                     1048576     1048576      4194298        48       87378       87384       87381       1.000      0.000485      17.293      16.696      485423      389949    256.2    205.8 
  AG-Monien              wave                      156317      156317      2118662        48       35483       48830       44139       1.106      0.000256      16.524      15.983      375816      109610    375.8    109.6 
  AMD                    G3_circuit               1585478     1585478      7660826        48      115479      169934      159601       1.065      0.002611       5.869       5.711     3675417      574597    360.4     56.3 
  ATandT                 pre2                      659033      659033      5959282        48      117991      126202      124152       1.017      0.000511      23.320      22.765      686091      342155    343.7    171.4 
  ATandT                 twotone                   120750      120750      1224224        48       24145       25962       25505       1.018      0.000134      18.327      17.898      230336       64850    440.0    123.9 
  Andrianov              ins2                      309412      309412      2751484        48       36091     1054875       57323      18.402      0.000920       5.979       5.810      624267      142355    173.7     39.6 
  Andrianov              lp1                       534388      534388      1643420        48       28597      283357       34238       8.276      0.000834       3.943       3.797      920686      100363    282.6     30.8 
  Andrianov              mip1                       66463       66463     10352819        48       13118      705968      215684       3.273      0.000379      54.628      51.817      622452      515779    420.4    348.4 
  Andrianov              net100                     29920       29920      2033200        48        2409      112944       42358       2.666      0.000123      32.966      32.025      360791      106349    750.9    221.3 
  Andrianov              net125                     36720       36720      2577200        48        2985      176715       53692       3.291      0.000151      34.237      33.359      491690      132262    833.6    224.2 
  Andrianov              net150                     43520       43520      3121200        48        3558      254867       65025       3.920      0.000185      33.770      31.442      587275      166587    812.7    230.5 
  Andrianov              net4-1                     88343       88343      2441727        48       20833      153731       50869       3.022      0.000251      19.428      18.876      319681      122866    326.0    125.3 
  Andrianov              net75                      23120       23120      1489200        48        1885       63142       31025       2.035      0.000104      28.507      27.739      267577       72611    658.7    178.7 
  Andrianov              pattern1                   19242       19242      9323432        48        8041      295543      194238       1.522      0.000584      31.956      31.276     3390104      463358   1486.1    203.1 
  Belcastro              human_gene1                22283       22283     24669643        48      247500      994788      513951       1.936      0.001103      44.744      43.233     7911601     1228463   1836.2    285.1 
  Belcastro              human_gene2                14340       14340     18068388        48      163634      650182      376425       1.727      0.000688      52.540      51.100     4598068      913586   1710.9    339.9 
  Belcastro              mouse_gene                 45101       45101     28967291        48      373844      961698      603485       1.594      0.001827      31.716      31.157    15031825     1459099   2106.3    204.4 
  BenElechi              BenElechi1                245874      245874     13150496        48      260892      275292      273969       1.005      0.000485      54.223      53.195     1050782      693753    554.6    366.2 
  Bodendiek              CurlCurl_1                226451      226451      2472071        48       43206       53024       51501       1.030      0.000392      12.598      12.361      594061      128535    388.0     83.9 
  Bodendiek              CurlCurl_2                806529      806529      8921789        48      160752      189035      185871       1.017      0.001289      13.844      13.343     1988605      506442    394.9    100.6 
  Bodendiek              CurlCurl_3               1219574     1219574     13544618        48      252614      285811      282180       1.013      0.001985      13.644      13.200     3010948      846124    388.3    109.1 
  Bodendiek              CurlCurl_4               2380515     2380515     26515867        48      500105      556837      552414       1.008      0.004012      13.219      12.721     5965455     1638994    380.6    104.6 
  Boeing                 bcsstk35                   30237       30237      1450163        48       19679       34282       30212       1.135      0.000077      37.525      36.410      128080       73238    425.8    243.5 
  Boeing                 bcsstk36                   23052       23052      1143140        48       19104       26813       23815       1.126      0.000063      36.067      34.726      101983       56260    414.4    228.6 
  Boeing                 bcsstk37                   25503       25503      1140977        48       12240       28489       23770       1.199      0.000069      33.033      31.674      104151       55131    386.4    204.5 
  Boeing                 bcsstk39                   46772       46772      2089294        48       39010       47205       43527       1.085      0.000100      41.694      38.174      181635      114976    465.0    294.3 
  Boeing                 crystk03                   24696       24696      1751178        48       24642       37125       36483       1.018      0.000072      48.643      46.246      134841       82342    479.4    292.8 
  Boeing                 ct20stif                   52329       52329      2698463        48       39573       71279       56218       1.268      0.000126      42.697      40.857      234862      139310    477.2    283.0 
  Boeing                 msc10848                   10848       10848      1229778        48       12447       34383       25620       1.342      0.000050      49.132      45.964       97672       57925    500.1    296.6 
  Boeing                 msc23052                   23052       23052      1154814        48       13398       34607       24059       1.438      0.000067      34.498      32.959      120973       56093    462.2    214.3 
  Boeing                 pcrystk03                  24696       24696      1751178        48       24642       37125       36483       1.018      0.000074      47.540      45.589      134913       86249    466.7    298.4 
  Boeing                 pct20stif                  52329       52329      2698463        48       39573       71279       56218       1.268      0.000130      41.416      39.882      235392      140924    463.5    277.5 
  Boeing                 pwtk                      217918      217918     11634424        48      221700      257424      242384       1.062      0.000435      53.548      52.210      932226      615023    548.6    361.9 
  Botonakis              FEM_3D_thermal2           147900      147900      3489300        48       72090       73617       72694       1.013      0.000247      28.301      27.517      420197      185992    435.5    192.8 
  Botonakis              thermomech_dK             204316      204316      2846228        48       45726       61886       59296       1.044      0.000367      15.530      14.977     1021193      158113    712.3    110.3 
  Botonakis              thermomech_dM             204316      204316      1423116        48       22864       30943       29648       1.044      0.000228      12.465      12.190      777589       75180    873.1     84.4 
